date/time,kwh,,
 04/06  05:00:00,101.0062628,,
 04/06  06:00:00,137.4911814,,
 04/06  07:00:00,144.1784608,,
 04/06  08:00:00,224.5242836,,
 04/06  09:00:00,257.13593,,
 04/06  10:00:00,251.5091907,,
 04/06  11:00:00,285.3862442,,
 04/06  12:00:00,276.1510966,,
 04/06  13:00:00,272.9549678,,
 04/06  14:00:00,269.774675,,
 04/06  15:00:00,259.9469554,,
 04/06  16:00:00,254.0783896,,
 04/06  17:00:00,251.1625153,,
 04/06  18:00:00,248.5668253,,
 04/06  19:00:00,248.2256498,,
 04/06  20:00:00,216.7547837,,
 04/06  21:00:00,154.1729882,,
 04/06  22:00:00,105.730177,,
 04/06  23:00:00,138.3524502,,
 04/06  24:00:00,111.371947,,
 04/07  01:00:00,101.9585322,,
 04/07  02:00:00,100.4654002,,
 04/07  03:00:00,99.26552914,,
 04/07  04:00:00,121.7925539,,
 04/07  05:00:00,121.1248619,,
 04/07  06:00:00,158.325453,,
 04/07  07:00:00,158.1159172,,
 04/07  08:00:00,223.1989523,,
 04/07  09:00:00,251.1076778,,
 04/07  10:00:00,242.0000076,,
 04/07  11:00:00,270.8662673,,
 04/07  12:00:00,255.2730924,,
 04/07  13:00:00,253.0680377,,
 04/07  14:00:00,249.0614718,,
 04/07  15:00:00,244.8399216,,
 04/07  16:00:00,243.4160904,,
 04/07  17:00:00,242.9690321,,
 04/07  18:00:00,238.9454898,,
 04/07  19:00:00,232.7323445,,
 04/07  20:00:00,206.5266006,,
 04/07  21:00:00,148.2493803,,
 04/07  22:00:00,104.8846348,,
 04/07  23:00:00,137.6462053,,
 04/07  24:00:00,110.8803962,,
 04/08  01:00:00,99.32105326,,
 04/08  02:00:00,97.42191737,,
 04/08  03:00:00,95.80387715,,
 04/08  04:00:00,101.5847,,
 04/08  05:00:00,100.0429584,,
 04/08  06:00:00,124.9523645,,
 04/08  07:00:00,131.5689518,,
 04/08  08:00:00,195.5091964,,
 04/08  09:00:00,218.9510372,,
 04/08  10:00:00,245.3399911,,
 04/08  11:00:00,275.2259457,,
 04/08  12:00:00,260.2798183,,
 04/08  13:00:00,257.639263,,
 04/08  14:00:00,252.9795861,,
 04/08  15:00:00,250.9467171,,
 04/08  16:00:00,251.3811648,,
 04/08  17:00:00,250.4149431,,
 04/08  18:00:00,231.0605897,,
 04/08  19:00:00,201.6149851,,
 04/08  20:00:00,189.0882267,,
 04/08  21:00:00,141.5083514,,
 04/08  22:00:00,104.9271859,,
 04/08  23:00:00,137.559474,,
 04/08  24:00:00,110.2905784,,
 04/09  01:00:00,100.7642502,,
 04/09  02:00:00,99.07933459,,
 04/09  03:00:00,97.46737759,,
 04/09  04:00:00,103.9391785,,
 04/09  05:00:00,102.7817755,,
 04/09  06:00:00,126.6242839,,
 04/09  07:00:00,134.3716482,,
 04/09  08:00:00,171.3915245,,
 04/09  09:00:00,151.1321863,,
 04/09  10:00:00,185.4040724,,
 04/09  11:00:00,216.1743191,,
 04/09  12:00:00,230.2803539,,
 04/09  13:00:00,229.3786061,,
 04/09  14:00:00,224.1224293,,
 04/09  15:00:00,218.8104514,,
 04/09  16:00:00,218.4907582,,
 04/09  17:00:00,189.3441122,,
 04/09  18:00:00,191.1473029,,
 04/09  19:00:00,182.9694806,,
 04/09  20:00:00,175.0525778,,
 04/09  21:00:00,156.5477508,,
 04/09  22:00:00,105.6779412,,
 04/09  23:00:00,138.0901427,,
 04/09  24:00:00,111.3222964,,
 04/10  01:00:00,104.7206577,,
 04/10  02:00:00,103.5573517,,
 04/10  03:00:00,102.7016399,,
 04/10  04:00:00,109.2052921,,
 04/10  05:00:00,108.6208398,,
 04/10  06:00:00,146.0463502,,
 04/10  07:00:00,155.1273968,,
 04/10  08:00:00,229.9495854,,
 04/10  09:00:00,258.0519234,,
 04/10  10:00:00,249.8140102,,
 04/10  11:00:00,276.4986628,,
 04/10  12:00:00,261.5166258,,
 04/10  13:00:00,259.3177461,,
 04/10  14:00:00,255.0409606,,
 04/10  15:00:00,251.8284766,,
 04/10  16:00:00,251.8262527,,
 04/10  17:00:00,250.7785691,,
 04/10  18:00:00,244.8877228,,
 04/10  19:00:00,241.5446677,,
 04/10  20:00:00,219.3841774,,
 04/10  21:00:00,159.1066792,,
 04/10  22:00:00,111.5078787,,
 04/10  23:00:00,143.0208768,,
 04/10  24:00:00,116.3318749,,
 04/11  01:00:00,105.9478518,,
 04/11  02:00:00,104.7317239,,
 04/11  03:00:00,104.4157595,,
 04/11  04:00:00,127.7245508,,
 04/11  05:00:00,126.8414191,,
 04/11  06:00:00,164.5117923,,
 04/11  07:00:00,166.9210391,,
 04/11  08:00:00,233.2226531,,
 04/11  09:00:00,263.4222102,,
 04/11  10:00:00,258.1083443,,
 04/11  11:00:00,282.9940588,,
 04/11  12:00:00,267.7164738,,
 04/11  13:00:00,264.2505369,,
 04/11  14:00:00,256.324498,,
 04/11  15:00:00,251.6480975,,
 04/11  16:00:00,250.1996543,,
 04/11  17:00:00,248.4026322,,
 04/11  18:00:00,243.6512966,,
 04/11  19:00:00,233.6808376,,
 04/11  20:00:00,211.0288951,,
 04/11  21:00:00,151.3393582,,
 04/11  22:00:00,107.3338862,,
 04/11  23:00:00,139.5362523,,
 04/11  24:00:00,112.6250927,,
 04/12  01:00:00,103.5567616,,
 04/12  02:00:00,101.9524097,,
 04/12  03:00:00,100.3296579,,
 04/12  04:00:00,105.9933739,,
 04/12  05:00:00,104.800877,,
 04/12  06:00:00,141.4319366,,
 04/12  07:00:00,149.7334779,,
 04/12  08:00:00,228.4193526,,
 04/12  09:00:00,260.6203496,,
 04/12  10:00:00,255.1001943,,
 04/12  11:00:00,283.0063597,,
 04/12  12:00:00,271.2980428,,
 04/12  13:00:00,270.0196827,,
 04/12  14:00:00,262.4344301,,
 04/12  15:00:00,257.1492196,,
 04/12  16:00:00,256.6362297,,
 04/12  17:00:00,254.3611177,,
 04/12  18:00:00,248.9638745,,
 04/12  19:00:00,244.3807928,,
 04/12  20:00:00,218.8818696,,
 04/12  21:00:00,156.6437945,,
 04/12  22:00:00,108.4057403,,
 04/12  23:00:00,141.0833689,,
 04/12  24:00:00,114.2219959,,
 04/13  01:00:00,104.619611,,
 04/13  02:00:00,102.6213061,,
 04/13  03:00:00,100.1524989,,
 04/13  04:00:00,106.0137686,,
 04/13  05:00:00,106.4282963,,
 04/13  06:00:00,145.1205762,,
 04/13  07:00:00,154.6749998,,
 04/13  08:00:00,230.3760362,,
 04/13  09:00:00,259.0278822,,
 04/13  10:00:00,252.6366964,,
 04/13  11:00:00,280.8135624,,
 04/13  12:00:00,267.4104843,,
 04/13  13:00:00,265.6118731,,
 04/13  14:00:00,260.2930378,,
 04/13  15:00:00,255.5657543,,
 04/13  16:00:00,254.2725114,,
 04/13  17:00:00,252.1018515,,
 04/13  18:00:00,247.4334041,,
 04/13  19:00:00,245.0850344,,
 04/13  20:00:00,222.9964247,,
 04/13  21:00:00,160.9229293,,
 04/13  22:00:00,111.31437,,
 04/13  23:00:00,142.9037128,,
 04/13  24:00:00,116.3195934,,
 04/14  01:00:00,106.8719003,,
 04/14  02:00:00,105.2141419,,
 04/14  03:00:00,103.7038907,,
 04/14  04:00:00,126.4149506,,
 04/14  05:00:00,126.3787504,,
 04/14  06:00:00,160.9578484,,
 04/14  07:00:00,164.9904453,,
 04/14  08:00:00,230.5514973,,
 04/14  09:00:00,261.3282253,,
 04/14  10:00:00,255.8519041,,
 04/14  11:00:00,282.2032063,,
 04/14  12:00:00,266.6188128,,
 04/14  13:00:00,261.7054686,,
 04/14  14:00:00,255.7483582,,
 04/14  15:00:00,251.695938,,
 04/14  16:00:00,251.2688406,,
 04/14  17:00:00,249.6570419,,
 04/14  18:00:00,244.7102708,,
 04/14  19:00:00,235.1537014,,
 04/14  20:00:00,212.7230492,,
 04/14  21:00:00,152.5357698,,
 04/14  22:00:00,108.0863996,,
 04/14  23:00:00,140.0519873,,
 04/14  24:00:00,112.9715435,,
 04/15  01:00:00,101.5133459,,
 04/15  02:00:00,100.0223456,,
 04/15  03:00:00,98.48448622,,
 04/15  04:00:00,104.2894348,,
 04/15  05:00:00,103.1925617,,
 04/15  06:00:00,125.1720216,,
 04/15  07:00:00,136.8846239,,
 04/15  08:00:00,199.6442601,,
 04/15  09:00:00,222.3979761,,
 04/15  10:00:00,248.3845416,,
 04/15  11:00:00,277.7665079,,
 04/15  12:00:00,263.0557962,,
 04/15  13:00:00,260.4987874,,
 04/15  14:00:00,254.5884038,,
 04/15  15:00:00,250.5092814,,
 04/15  16:00:00,249.9004952,,
 04/15  17:00:00,249.4784208,,
 04/15  18:00:00,231.0325368,,
 04/15  19:00:00,198.5529739,,
 04/15  20:00:00,189.5959014,,
 04/15  21:00:00,143.3928746,,
 04/15  22:00:00,107.5026997,,
 04/15  23:00:00,139.1477975,,
 04/15  24:00:00,112.0241523,,
 04/16  01:00:00,102.4962016,,
 04/16  02:00:00,100.8136749,,
 04/16  03:00:00,99.09937832,,
 04/16  04:00:00,105.1917571,,
 04/16  05:00:00,104.462897,,
 04/16  06:00:00,126.74657,,
 04/16  07:00:00,139.963386,,
 04/16  08:00:00,174.6183184,,
 04/16  09:00:00,152.8412296,,
 04/16  10:00:00,188.8925266,,
 04/16  11:00:00,217.7836293,,
 04/16  12:00:00,230.1433247,,
 04/16  13:00:00,228.6623011,,
 04/16  14:00:00,223.9887766,,
 04/16  15:00:00,219.9886508,,
 04/16  16:00:00,219.2214405,,
 04/16  17:00:00,190.6733494,,
 04/16  18:00:00,194.4032515,,
 04/16  19:00:00,187.7499069,,
 04/16  20:00:00,179.9354153,,
 04/16  21:00:00,162.1828325,,
 04/16  22:00:00,111.4828192,,
 04/16  23:00:00,143.0922625,,
 04/16  24:00:00,115.7886065,,
 04/17  01:00:00,107.8524932,,
 04/17  02:00:00,107.1443601,,
 04/17  03:00:00,106.7265408,,
 04/17  04:00:00,112.7455177,,
 04/17  05:00:00,111.126278,,
 04/17  06:00:00,144.458609,,
 04/17  07:00:00,157.2356646,,
 04/17  08:00:00,233.65827,,
 04/17  09:00:00,262.2931626,,
 04/17  10:00:00,256.6888055,,
 04/17  11:00:00,282.8166687,,
 04/17  12:00:00,269.8055833,,
 04/17  13:00:00,269.2192423,,
 04/17  14:00:00,262.5015758,,
 04/17  15:00:00,257.5369147,,
 04/17  16:00:00,256.5803193,,
 04/17  17:00:00,255.4578987,,
 04/17  18:00:00,250.8125719,,
 04/17  19:00:00,247.7240323,,
 04/17  20:00:00,223.9541128,,
 04/17  21:00:00,161.3305243,,
 04/17  22:00:00,112.201228,,
 04/17  23:00:00,143.8334846,,
 04/17  24:00:00,117.3278572,,
 04/18  01:00:00,107.9110786,,
 04/18  02:00:00,106.2964421,,
 04/18  03:00:00,104.7971761,,
 04/18  04:00:00,127.9801419,,
 04/18  05:00:00,127.5453796,,
 04/18  06:00:00,161.3938563,,
 04/18  07:00:00,166.7032663,,
 04/18  08:00:00,231.620148,,
 04/18  09:00:00,256.8194664,,
 04/18  10:00:00,248.5682353,,
 04/18  11:00:00,274.5292381,,
 04/18  12:00:00,259.1734915,,
 04/18  13:00:00,257.8920198,,
 04/18  14:00:00,253.0540744,,
 04/18  15:00:00,248.6224497,,
 04/18  16:00:00,248.0071572,,
 04/18  17:00:00,246.8234897,,
 04/18  18:00:00,241.4007726,,
 04/18  19:00:00,230.329635,,
 04/18  20:00:00,206.6487623,,
 04/18  21:00:00,146.8181935,,
 04/18  22:00:00,103.5546423,,
 04/18  23:00:00,137.3453553,,
 04/18  24:00:00,109.5532918,,
 04/19  01:00:00,100.5648034,,
 04/19  02:00:00,99.70342684,,
 04/19  03:00:00,98.73135598,,
 04/19  04:00:00,104.7355354,,
 04/19  05:00:00,104.3189607,,
 04/19  06:00:00,138.6009472,,
 04/19  07:00:00,151.2972988,,
 04/19  08:00:00,226.8910401,,
 04/19  09:00:00,254.7935255,,
 04/19  10:00:00,246.653821,,
 04/19  11:00:00,273.4918135,,
 04/19  12:00:00,257.592158,,
 04/19  13:00:00,254.4761852,,
 04/19  14:00:00,250.2530055,,
 04/19  15:00:00,246.3261982,,
 04/19  16:00:00,245.7241689,,
 04/19  17:00:00,245.5089665,,
 04/19  18:00:00,242.5481315,,
 04/19  19:00:00,240.1026634,,
 04/19  20:00:00,216.8501772,,
 04/19  21:00:00,155.1480336,,
 04/19  22:00:00,105.9541285,,
 04/19  23:00:00,138.0839515,,
 04/19  24:00:00,109.8672851,,
 04/20  01:00:00,100.2723673,,
 04/20  02:00:00,98.86546806,,
 04/20  03:00:00,97.47476908,,
 04/20  04:00:00,102.8621019,,
 04/20  05:00:00,100.5111222,,
 04/20  06:00:00,133.3063035,,
 04/20  07:00:00,145.2664547,,
 04/20  08:00:00,225.5464385,,
 04/20  09:00:00,257.5909467,,
 04/20  10:00:00,252.0982395,,
 04/20  11:00:00,279.1930128,,
 04/20  12:00:00,265.0178542,,
 04/20  13:00:00,262.6744886,,
 04/20  14:00:00,255.3302149,,
 04/20  15:00:00,249.8299934,,
 04/20  16:00:00,249.4364854,,
 04/20  17:00:00,248.2298972,,
 04/20  18:00:00,243.9899153,,
 04/20  19:00:00,241.478835,,
 04/20  20:00:00,216.8367769,,
 04/20  21:00:00,156.1725468,,
 04/20  22:00:00,108.7270651,,
 04/20  23:00:00,140.3254535,,
 04/20  24:00:00,113.0785491,,
 04/21  01:00:00,104.1765976,,
 04/21  02:00:00,102.7800413,,
 04/21  03:00:00,101.0422621,,
 04/21  04:00:00,122.6175871,,
 04/21  05:00:00,121.190574,,
 04/21  06:00:00,154.3970962,,
 04/21  07:00:00,159.9460408,,
 04/21  08:00:00,230.3703289,,
 04/21  09:00:00,264.1388067,,
 04/21  10:00:00,259.9454689,,
 04/21  11:00:00,285.9744685,,
 04/21  12:00:00,272.5472946,,
 04/21  13:00:00,272.3846077,,
 04/21  14:00:00,270.3529176,,
 04/21  15:00:00,264.332764,,
 04/21  16:00:00,260.174126,,
 04/21  17:00:00,259.5265665,,
 04/21  18:00:00,255.335688,,
 04/21  19:00:00,245.0955286,,
 04/21  20:00:00,221.5288249,,
 04/21  21:00:00,160.4726387,,
 04/21  22:00:00,117.1079545,,
 04/21  23:00:00,147.7164704,,
 04/21  24:00:00,121.4132322,,
 04/22  01:00:00,108.4510851,,
 04/22  02:00:00,105.6619311,,
 04/22  03:00:00,104.1439294,,
 04/22  04:00:00,110.7860215,,
 04/22  05:00:00,109.5613134,,
 04/22  06:00:00,132.0359045,,
 04/22  07:00:00,146.9051994,,
 04/22  08:00:00,212.0491495,,
 04/22  09:00:00,239.987474,,
 04/22  10:00:00,266.7804087,,
 04/22  11:00:00,293.974974,,
 04/22  12:00:00,282.0637455,,
 04/22  13:00:00,280.4583216,,
 04/22  14:00:00,274.1194479,,
 04/22  15:00:00,267.9948905,,
 04/22  16:00:00,266.0648223,,
 04/22  17:00:00,265.0076869,,
 04/22  18:00:00,245.2222751,,
 04/22  19:00:00,213.1098722,,
 04/22  20:00:00,202.363447,,
 04/22  21:00:00,153.5577369,,
 04/22  22:00:00,115.7816919,,
 04/22  23:00:00,146.8393388,,
 04/22  24:00:00,121.8032696,,
 04/23  01:00:00,111.8323574,,
 04/23  02:00:00,110.2511423,,
 04/23  03:00:00,109.4460976,,
 04/23  04:00:00,116.4293572,,
 04/23  05:00:00,115.4653094,,
 04/23  06:00:00,137.470404,,
 04/23  07:00:00,152.3591398,,
 04/23  08:00:00,187.1759177,,
 04/23  09:00:00,165.750211,,
 04/23  10:00:00,198.5894253,,
 04/23  11:00:00,227.5556999,,
 04/23  12:00:00,242.5628035,,
 04/23  13:00:00,240.9187178,,
 04/23  14:00:00,234.6298676,,
 04/23  15:00:00,229.6418702,,
 04/23  16:00:00,228.2729873,,
 04/23  17:00:00,196.7835325,,
 04/23  18:00:00,198.4452313,,
 04/23  19:00:00,191.1825179,,
 04/23  20:00:00,182.3832985,,
 04/23  21:00:00,163.1161065,,
 04/23  22:00:00,112.6781696,,
 04/23  23:00:00,144.4815155,,
 04/23  24:00:00,118.8353041,,
 04/24  01:00:00,111.2612029,,
 04/24  02:00:00,109.728462,,
 04/24  03:00:00,108.7640337,,
 04/24  04:00:00,115.3470992,,
 04/24  05:00:00,114.2912837,,
 04/24  06:00:00,147.9893525,,
 04/24  07:00:00,161.3595159,,
 04/24  08:00:00,235.4867287,,
 04/24  09:00:00,264.2900922,,
 04/24  10:00:00,258.4972117,,
 04/24  11:00:00,284.7943099,,
 04/24  12:00:00,270.2875983,,
 04/24  13:00:00,269.0538402,,
 04/24  14:00:00,265.395088,,
 04/24  15:00:00,262.1078767,,
 04/24  16:00:00,260.8498061,,
 04/24  17:00:00,258.4555966,,
 04/24  18:00:00,252.8652313,,
 04/24  19:00:00,250.2440475,,
 04/24  20:00:00,226.9805274,,
 04/24  21:00:00,163.2779696,,
 04/24  22:00:00,114.7609139,,
 04/24  23:00:00,146.6823557,,
 04/24  24:00:00,121.0102211,,
 04/25  01:00:00,111.3650372,,
 04/25  02:00:00,110.1122878,,
 04/25  03:00:00,109.0107213,,
 04/25  04:00:00,133.2461169,,
 04/25  05:00:00,132.5495301,,
 04/25  06:00:00,166.9416946,,
 04/25  07:00:00,172.7604536,,
 04/25  08:00:00,238.2287394,,
 04/25  09:00:00,266.8497666,,
 04/25  10:00:00,259.7713171,,
 04/25  11:00:00,285.5444779,,
 04/25  12:00:00,272.8983621,,
 04/25  13:00:00,272.7715727,,
 04/25  14:00:00,265.9195859,,
 04/25  15:00:00,259.9879756,,
 04/25  16:00:00,259.1641244,,
 04/25  17:00:00,257.5191884,,
 04/25  18:00:00,252.387893,,
 04/25  19:00:00,242.9369852,,
 04/25  20:00:00,220.900196,,
 04/25  21:00:00,158.9736187,,
 04/25  22:00:00,115.3492255,,
 04/25  23:00:00,147.243854,,
 04/25  24:00:00,121.6218495,,
 04/26  01:00:00,111.3353323,,
 04/26  02:00:00,109.9902446,,
 04/26  03:00:00,108.8223177,,
 04/26  04:00:00,115.4067411,,
 04/26  05:00:00,114.0136699,,
 04/26  06:00:00,147.7317931,,
 04/26  07:00:00,162.0597419,,
 04/26  08:00:00,237.0319243,,
 04/26  09:00:00,264.162,,
 04/26  10:00:00,258.3788208,,
 04/26  11:00:00,287.2402085,,
 04/26  12:00:00,273.5632625,,
 04/26  13:00:00,270.7773239,,
 04/26  14:00:00,266.1362751,,
 04/26  15:00:00,262.6152952,,
 04/26  16:00:00,261.2483972,,
 04/26  17:00:00,259.7281163,,
 04/26  18:00:00,252.9278914,,
 04/26  19:00:00,249.8783658,,
 04/26  20:00:00,227.4591063,,
 04/26  21:00:00,164.5375701,,
 04/26  22:00:00,115.3433351,,
 04/26  23:00:00,146.5321223,,
 04/26  24:00:00,120.2516319,,
 04/27  01:00:00,109.6558177,,
 04/27  02:00:00,107.1894984,,
 04/27  03:00:00,105.4834984,,
 04/27  04:00:00,110.6403912,,
 04/27  05:00:00,109.0225631,,
 04/27  06:00:00,138.9418511,,
 04/27  07:00:00,157.0260226,,
 04/27  08:00:00,237.2189795,,
 04/27  09:00:00,268.2989766,,
 04/27  10:00:00,262.3685869,,
 04/27  11:00:00,287.0880021,,
 04/27  12:00:00,271.8827208,,
 04/27  13:00:00,267.0232082,,
 04/27  14:00:00,257.4805977,,
 04/27  15:00:00,250.2483904,,
 04/27  16:00:00,249.8914757,,
 04/27  17:00:00,249.6987137,,
 04/27  18:00:00,246.2694027,,
 04/27  19:00:00,245.4815572,,
 04/27  20:00:00,222.461926,,
 04/27  21:00:00,160.8079603,,
 04/27  22:00:00,113.5510445,,
 04/27  23:00:00,145.9633754,,
 04/27  24:00:00,119.6984369,,
 04/28  01:00:00,108.6146478,,
 04/28  02:00:00,105.8322033,,
 04/28  03:00:00,103.9305191,,
 04/28  04:00:00,126.7743254,,
 04/28  05:00:00,126.9478943,,
 04/28  06:00:00,161.7941338,,
 04/28  07:00:00,176.3848815,,
 04/28  08:00:00,246.3405862,,
 04/28  09:00:00,281.1772574,,
 04/28  10:00:00,276.715047,,
 04/28  11:00:00,298.4597805,,
 04/28  12:00:00,291.0733137,,
 04/28  13:00:00,292.8250643,,
 04/28  14:00:00,284.4881535,,
 04/28  15:00:00,276.9731912,,
 04/28  16:00:00,275.3500665,,
 04/28  17:00:00,272.1539839,,
 04/28  18:00:00,264.6679007,,
 04/28  19:00:00,252.444412,,
 04/28  20:00:00,227.3144138,,
 04/28  21:00:00,162.4557236,,
 04/28  22:00:00,117.4787583,,
 04/28  23:00:00,147.2135816,,
 04/28  24:00:00,121.1841109,,
 04/29  01:00:00,108.5857238,,
 04/29  02:00:00,108.5755664,,
 04/29  03:00:00,108.5177074,,
 04/29  04:00:00,115.9258868,,
 04/29  05:00:00,115.1509134,,
 04/29  06:00:00,134.8397816,,
 04/29  07:00:00,156.5001364,,
 04/29  08:00:00,221.9249482,,
 04/29  09:00:00,252.2357833,,
 04/29  10:00:00,279.5974835,,
 04/29  11:00:00,306.7885723,,
 04/29  12:00:00,303.0044039,,
 04/29  13:00:00,299.0834276,,
 04/29  14:00:00,288.8316715,,
 04/29  15:00:00,281.3745298,,
 04/29  16:00:00,279.2245308,,
 04/29  17:00:00,276.9627345,,
 04/29  18:00:00,255.4675226,,
 04/29  19:00:00,220.301679,,
 04/29  20:00:00,209.683792,,
 04/29  21:00:00,157.5480835,,
 04/29  22:00:00,119.5256081,,
 04/29  23:00:00,149.4214632,,
 04/29  24:00:00,124.8739172,,
 04/30  01:00:00,113.9900023,,
 04/30  02:00:00,112.6369403,,
 04/30  03:00:00,111.7104729,,
 04/30  04:00:00,118.9510448,,
 04/30  05:00:00,118.058284,,
 04/30  06:00:00,137.0667076,,
 04/30  07:00:00,155.9876154,,
 04/30  08:00:00,190.7665861,,
 04/30  09:00:00,169.7454883,,
 04/30  10:00:00,203.4127406,,
 04/30  11:00:00,233.6236703,,
 04/30  12:00:00,251.1963671,,
 04/30  13:00:00,249.2658525,,
 04/30  14:00:00,242.131332,,
 04/30  15:00:00,236.1247801,,
 04/30  16:00:00,233.7539463,,
 04/30  17:00:00,201.8640082,,
 04/30  18:00:00,203.6600284,,
 04/30  19:00:00,194.4563963,,
 04/30  20:00:00,188.5074675,,
 04/30  21:00:00,167.9425165,,
 04/30  22:00:00,115.7629016,,
 04/30  23:00:00,145.8220484,,
 04/30  24:00:00,119.1822446,,
 05/01  01:00:00,110.4713968,,
 05/01  02:00:00,106.9632887,,
 05/01  03:00:00,103.8364329,,
 05/01  04:00:00,108.3402611,,
 05/01  05:00:00,105.4171404,,
 05/01  06:00:00,134.4659745,,
 05/01  07:00:00,150.3402713,,
 05/01  08:00:00,228.4105765,,
 05/01  09:00:00,260.6583271,,
 05/01  10:00:00,253.873516,,
 05/01  11:00:00,279.8037938,,
 05/01  12:00:00,264.0984373,,
 05/01  13:00:00,261.8677989,,
 05/01  14:00:00,257.9658458,,
 05/01  15:00:00,254.1169679,,
 05/01  16:00:00,252.5892957,,
 05/01  17:00:00,248.9035158,,
 05/01  18:00:00,244.6649198,,
 05/01  19:00:00,238.046677,,
 05/01  20:00:00,216.4404189,,
 05/01  21:00:00,154.9336979,,
 05/01  22:00:00,106.3175958,,
 05/01  23:00:00,138.9519202,,
 05/01  24:00:00,111.5178515,,
 05/02  01:00:00,102.5941953,,
 05/02  02:00:00,100.9734566,,
 05/02  03:00:00,99.83102518,,
 05/02  04:00:00,123.4877961,,
 05/02  05:00:00,123.8012365,,
 05/02  06:00:00,155.5155922,,
 05/02  07:00:00,162.8615029,,
 05/02  08:00:00,228.1222727,,
 05/02  09:00:00,256.4940277,,
 05/02  10:00:00,248.1047915,,
 05/02  11:00:00,275.8471025,,
 05/02  12:00:00,261.5302181,,
 05/02  13:00:00,261.0812825,,
 05/02  14:00:00,255.9626655,,
 05/02  15:00:00,251.4852313,,
 05/02  16:00:00,252.4133177,,
 05/02  17:00:00,250.7640681,,
 05/02  18:00:00,244.7260707,,
 05/02  19:00:00,229.9781683,,
 05/02  20:00:00,210.2684286,,
 05/02  21:00:00,151.6013089,,
 05/02  22:00:00,108.0221158,,
 05/02  23:00:00,140.863837,,
 05/02  24:00:00,114.4251412,,
 05/03  01:00:00,105.2391504,,
 05/03  02:00:00,104.209801,,
 05/03  03:00:00,103.0615233,,
 05/03  04:00:00,109.6028439,,
 05/03  05:00:00,108.4654244,,
 05/03  06:00:00,139.0515311,,
 05/03  07:00:00,155.4927282,,
 05/03  08:00:00,232.7423408,,
 05/03  09:00:00,261.0371436,,
 05/03  10:00:00,253.7717619,,
 05/03  11:00:00,279.205064,,
 05/03  12:00:00,264.6352599,,
 05/03  13:00:00,263.7235777,,
 05/03  14:00:00,259.0180434,,
 05/03  15:00:00,255.0442665,,
 05/03  16:00:00,254.5413736,,
 05/03  17:00:00,253.2358705,,
 05/03  18:00:00,248.28925,,
 05/03  19:00:00,240.7266558,,
 05/03  20:00:00,219.7310048,,
 05/03  21:00:00,158.2035675,,
 05/03  22:00:00,108.9800524,,
 05/03  23:00:00,140.4857113,,
 05/03  24:00:00,112.9581656,,
 05/04  01:00:00,103.5682886,,
 05/04  02:00:00,101.9775404,,
 05/04  03:00:00,101.0044588,,
 05/04  04:00:00,107.323353,,
 05/04  05:00:00,106.2263592,,
 05/04  06:00:00,136.9570895,,
 05/04  07:00:00,153.8463683,,
 05/04  08:00:00,232.0531417,,
 05/04  09:00:00,261.2818355,,
 05/04  10:00:00,253.4245796,,
 05/04  11:00:00,282.0855293,,
 05/04  12:00:00,268.7206397,,
 05/04  13:00:00,265.9122283,,
 05/04  14:00:00,259.3127657,,
 05/04  15:00:00,253.0215295,,
 05/04  16:00:00,252.4540598,,
 05/04  17:00:00,250.6818394,,
 05/04  18:00:00,245.4154965,,
 05/04  19:00:00,238.4074163,,
 05/04  20:00:00,217.6761612,,
 05/04  21:00:00,156.9770263,,
 05/04  22:00:00,108.6592124,,
 05/04  23:00:00,140.670727,,
 05/04  24:00:00,113.5220943,,
 05/05  01:00:00,103.2191209,,
 05/05  02:00:00,101.9218847,,
 05/05  03:00:00,101.2833272,,
 05/05  04:00:00,123.0346545,,
 05/05  05:00:00,120.8365655,,
 05/05  06:00:00,152.6771856,,
 05/05  07:00:00,163.705156,,
 05/05  08:00:00,233.1079044,,
 05/05  09:00:00,264.434284,,
 05/05  10:00:00,258.6257592,,
 05/05  11:00:00,286.4403574,,
 05/05  12:00:00,272.4966851,,
 05/05  13:00:00,269.630171,,
 05/05  14:00:00,264.8753615,,
 05/05  15:00:00,262.2873913,,
 05/05  16:00:00,261.507997,,
 05/05  17:00:00,258.9799586,,
 05/05  18:00:00,254.1508897,,
 05/05  19:00:00,241.3716832,,
 05/05  20:00:00,222.4109286,,
 05/05  21:00:00,159.6775024,,
 05/05  22:00:00,115.7030188,,
 05/05  23:00:00,146.6435767,,
 05/05  24:00:00,121.2371421,,
 05/06  01:00:00,109.2306525,,
 05/06  02:00:00,107.3490428,,
 05/06  03:00:00,105.9045493,,
 05/06  04:00:00,111.1851643,,
 05/06  05:00:00,109.7030356,,
 05/06  06:00:00,128.4339623,,
 05/06  07:00:00,146.1789152,,
 05/06  08:00:00,210.5247225,,
 05/06  09:00:00,236.6907124,,
 05/06  10:00:00,260.6487533,,
 05/06  11:00:00,288.4761333,,
 05/06  12:00:00,276.0612552,,
 05/06  13:00:00,274.2151642,,
 05/06  14:00:00,268.3408925,,
 05/06  15:00:00,262.9949583,,
 05/06  16:00:00,259.4509357,,
 05/06  17:00:00,258.9429636,,
 05/06  18:00:00,241.3417846,,
 05/06  19:00:00,206.9369384,,
 05/06  20:00:00,201.0992616,,
 05/06  21:00:00,152.7870791,,
 05/06  22:00:00,114.3421674,,
 05/06  23:00:00,145.0973262,,
